Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,File
QF7361,-20.93,46.09,8.66,9.97,4.62,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7365,-22.45,42.89,9.82,6.57,6.53,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7364,-22.36,49.21,10.06,7.71,6.38,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7362,-21.19,44.17,9.08,9.87,4.47,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7363,-20.1,46.67,10.55,9.4,4.96,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5672,-20.29,39.43,10.33,8.93,4.41,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7311,-18.94,32.93,12.02,6.44,5.11,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF5674,-19.35,44.09,14.54,9.25,4.77,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7056,-19.71,46.66,13.57,7.7,6.06,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7338,-21.73,22.19,9.69,3.01,7.37,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7057,-22.97,14.64,10.5,2.84,5.16,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0129,-22.53,1.67,4,0.31,5.43,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0116,-19.86,2.01,4.94,0.28,7.14,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0108,-20.79,1.37,5.69,0.26,5.22,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0086,-21.4,1.62,3.03,0.25,6.51,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0123,-23.02,0.91,6.08,0.2,4.51,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0137,-20.54,1.87,4.32,0.37,5.04,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0122,-22.98,0.94,4,0.17,5.45,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0090,-23.78,1.9,3.4,0.35,5.37,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0144,-21.01,1.52,5.06,0.36,4.28,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0088,-22.4,1.35,3.77,0.26,5.11,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0095,-19.81,3.06,4.95,0.56,5.46,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0120,-19.44,3.18,4.33,0.68,4.66,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0180,-29.49,0.76,1.25,0.06,12.72,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
VPSI0117,-20.96,1.51,5.94,0.34,4.39,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
